title,phone_1,phone_2,phone_3,address
CyberNas,+97144310761,+97145877251,null,"Grosvenor Business Tower, 3, Al Fosool street, Al Thanyah 1, Hadaeq Mohammed Bin Rashid, Dubai, Dubai Municipality"
Intertec Systems,+97144479444,null,null,"Sobha Sapphire, 17, Al Khail road, Business Bay, Za'abeel, Dubai, Dubai Municipality3 branches"
Azinova Technologies,+97143597674,+971509620345,null,"The Metropolis, 57, Marasi Drive, Business Bay, Za'abeel, Dubai, Dubai Municipality2 branches"
Perfonec Computers Trading,+97143866199,+971564085594,null,"Nasser Ahmed Nasser Lootah Building, 157, Khalid Bin Al Waleed road, Umm Hurair 1, Bur Dubai, Dubai, Dubai Municipality"
Eventagrate,+97143475642,null,null,"Golden Toys Warehouse, 82, 6b street, Al Qouz Industrial Area 3, Hadaeq Mohammed Bin Rashid, Dubai, Dubai Municipality"
Oct Alpha Business Solutions,+97142424920,null,null,"Business Central Towers, 6-10, Al Jaddi street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
IT Corner Emirates,+97142223130,null,null,"Sidra Tower, 21, Al Noor street, Al Sufouh 1, Jumeirah, Dubai, Dubai Municipality"
Anasoft,+971525285535,+97143132858,null,"Jumeirah Emirates Office Tower, 1/2, 13a street, Trade Center 2, Za'abeel, Dubai, Dubai Municipality"
Legend1st,+971557015031,null,null,"Crystal Tower, 2, 8 street, Business Bay, Za'abeel, Dubai, Dubai Municipality"
TechSutra FZ,+97142781049,null,null,5
My Inbox Media,+97147701581,null,null,"Prime Tower, 39, Marasi Drive, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Pos Scan Computer Trading Company,+97143266366,+971558838749,null,5
Kepler Tech,+97143231008,+971523927918,+971558358586,"19, Khalid Bin Al Waleed road, Al Souq Al Kabeer, Bur Dubai, Dubai, Dubai Municipality2 branches"
Fourth Dimensions Systems,+97143024000,+97143024040,null,"Block B, 16/1, 12b street, Oud Metha, Bur Dubai, Dubai, Dubai Municipality2 branches"
Sapiens Software System,+97142286667,null,null,"Business Venue Building, 36, 2 street, Oud Metha, Bur Dubai, Dubai, Dubai Municipality"
Dynabytes Software House,+97143883666,null,null,"Al Quoz Commercial and Office Building, 2, Kunooz 5 street, Al Qouz Industrial Area 1, Hadaeq Mohammed Bin Rashid, Dubai, Dubai Municipality"
Synergia Softwares IT Infrastructure,+97145687001,+971508922937,null,"Business Venue Building, 36, 2 street, Oud Metha, Bur Dubai, Dubai, Dubai Municipality"
Rookie Ninja General Trading,+97142284442,+97142965256,null,"Al Nasr Building 2, 230, Oud Maitha road, Oud Metha, Bur Dubai, Dubai, Dubai Municipality"
Suninfosys Technologies,+97143866500,null,null,"Al Hanaa Center, 227, Sheikh Sabah Al Ahmad Al Jaber Al Sabah street, Al Jafiliya, Bur Dubai, Dubai, Dubai Municipality"
Complex Technologies,+97143932939,+97143932970,+971559725294,"Al Moosa Building, 33, Al Ghubaiba road, Al Souq Al Kabeer, Bur Dubai, Dubai, Dubai Municipality"
Merit,+97145621020,null,null,"API Trio Office Tower, 861, Sheikh Zayed road, Al Barsha 1, Hadaeq Mohammed Bin Rashid, Dubai, Dubai Municipality"
Microsoft Technology,+97143917000,null,null,2.3
Purple Ocean Technology,+97143400323,null,null,"Al Moosa Tower 1, 62, Sheikh Zayed road, Trade Center 1, Jumeirah, Dubai, Dubai Municipality2 branches"
IML General Trading,+97143306455,null,null,"Aswar Building, 220, Sheikh Zayed road, Al Wasl, Jumeirah, Dubai, Dubai Municipality"
Insights Marketing & Communications,+97142557977,null,null,"Latifa Tower, 38, Sheikh Zayed road, Trade Center 1, Jumeirah, Dubai, Dubai Municipality"
Data Semantics Technologies,+971521360916,+97144470836,null,"Churchill Tower, 57a, 7 street, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Prologic First Software,+97143366349,+97143366345,+971504047899,"Opal Tower, 8, Al Ohood street, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Bentley Systems Europe B.V,+97143826000,+97143312666,null,"City Tower 2, 48, Sheikh Zayed road, Trade Center 1, Jumeirah, Dubai, Dubai Municipality"
International Business Solutions,+97143985458,+971503992698,null,"Al Rumaithy Building, 18, Kuwait street, Al Raffa, Bur Dubai, Dubai, Dubai Municipality"
Emirates Sands Technology,+97143869970,null,null,"Dar Al Riffa Building, 37, Khalid Bin Al Waleed road, Al Souq Al Kabeer, Bur Dubai, Dubai, Dubai Municipality"
Hearty Mart Overseas,+971561990296,null,null,"Hamsah A & B, 4, Za'abeel road, Al Karama, Bur Dubai, Dubai, Dubai Municipality"
Hitachi Vantara,+97144380700,+97143904455,null,"Business Central Towers, 6-10, Al Jaddi street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
Mirnah Technology Systems,+97142687557,+971507657433,null,"Rigga Business Center, 24, 26b street, Al Muraqqabat, Deira, Dubai, Dubai Municipality"
Wipro,null,null,null,"One Central Offices 5, 30, Trade Center street, Trade Center 2, Za'abeel, Dubai, Dubai Municipality"
Rudratech,+971528552013,null,null,"API Trio Office Tower, 861, Sheikh Zayed road, Al Barsha 1, Hadaeq Mohammed Bin Rashid, Dubai, Dubai Municipality"
Limitless Solutions Software Design,+97143680965,+97144558556,null,"Tower 1, 4b, Mohammed Bin Rashid Boulevard, Burj Khalifa/Downtown Dubai, Za'abeel, Dubai, Dubai Municipality2 branches"
Timeline Technology Solutions,+97143700560,+971509337590,null,"Burj Al Salam Tower, 2, 1 street, Trade Center 1, Jumeirah, Dubai, Dubai Municipality2 branches"
RKN Computers,+97143555653,+971506775949,null,5
Equinox International Trading,+97143518242,+971558707475,+971504599540,5
Magnus Technologies,+97145541001,null,null,5
Gulf Business Machines,+97143435353,+97143433232,null,"Emarat Atrium, 232, Sheikh Zayed road, Al Wasl, Jumeirah, Dubai, Dubai Municipality5 branches"
Reliable Information Technology Services,+97142525685,+97142274847,+971506555629,5
Emerald Technology Consulting FZ,+97145547104,null,null,"Business Central Towers, 6-10, Al Jaddi street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
InterSystems FZ,+97144575700,+97144575734,null,"Dubai Health Care City, 40, Dubai Healthcare City street, Umm Hurair 2, Bur Dubai, Dubai, Dubai Municipality"
Meherun International Trading,+971543662876,+971545821657,null,"Twin Tower, 31b, Baniyas road, Al Rigga, Deira, Dubai, Dubai Municipality2 branches"
Coral Business Solutions,+971504007432,null,null,"Platinum Business Tower, 13, Baghdad street, Al Nahda 2, Deira, Dubai, Dubai Municipality"
Computer Network Systems,+97142384400,+97142384848,null,"Makeen, 23, Airport road, Dubai International Airport, Deira, Dubai, Dubai Municipality2 branches"
Inter Smart IT Siolutions,+971558706044,+971509939863,null,"Al Hawai Tower, 88, Sheikh Zayed road, Trade Center 1, Jumeirah, Dubai, Dubai Municipality"
Systronics,+97143930153,null,null,"One by Omniyat Business Bay Tower, 137, Al Mustaqbal street, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Adriot Technology,+97143887731,null,null,"Latifa Tower, 38, Sheikh Zayed road, Trade Center 1, Jumeirah, Dubai, Dubai Municipality"
Digi Presence Computer Software House,+97142776528,+971527779405,null,"ETA Star's Al Manara Tower, 6, Marasi Drive, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Photon Technologies,+97142599882,null,null,"Churchill Tower, 57a, 7 street, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Mega Impex Software House,+97143795772,null,null,"Latifa Tower, 38, Sheikh Zayed road, Trade Center 1, Jumeirah, Dubai, Dubai Municipality2 branches"
Hybrid Solution,+97143751442,null,null,"Prime Tower, 39, Marasi Drive, Business Bay, Za'abeel, Dubai, Dubai Municipality"
MediaLogic,+97145516636,+97145516635,+971525141455,"Opal Tower, 42, Burj Khalifa street, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Pinnacle Smart Technologies,+97143350053,+97143352350,null,"Al Khaleej Building, 37, 20b street, Al Karama, Bur Dubai, Dubai, Dubai Municipality"
Deyafa Hospitality Solutions,null,null,null,"Al Khaleej Building, 37, 20b street, Al Karama, Bur Dubai, Dubai, Dubai Municipality"
Appstec Technology Services,+97143515277,null,null,"Bank Street Building, 27, 1b street, Al Mankhool, Bur Dubai, Dubai, Dubai Municipality"
Element 8 Web Design,+97143545956,+971506282055,null,3.5
Cloud Intense Software Trading,null,null,null,"The Tower Plaza Hotel, 56, Sheikh Zayed road, Trade Center 1, Jumeirah, Dubai, Dubai Municipality"
Seidor Mena,+97143357302,null,null,"Building 4, 25, Al Jreena street, Al Qouz Industrial Area 3, Hadaeq Mohammed Bin Rashid, Dubai, Dubai Municipality2 branches"
MDS Computers Technical Systems,+97144293555,null,null,"DAMAC Business Tower, 212, Marasi Drive, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Al Jedayel Computer Trading,+97143887590,null,null,"35, Al Raffa street, Al Souq Al Kabeer, Bur Dubai, Dubai, Dubai Municipality"
Lai Fai Computer Trading,+97143425533,+971521031945,+971521031946,"Al Ain Center, 62, Sheikh Sabah Al Ahmad Al Jaber Al Sabah street, Al Mankhool, Bur Dubai, Dubai, Dubai Municipality"
Advanced Tec Technologies,+971553352010,+97142552360,null,"Office Court Building, 228, Oud Maitha road, Oud Metha, Bur Dubai, Dubai, Dubai Municipality"
Infosoft Software,null,null,null,"Acico Business Park, 7, 29a street, Port Saeed, Deira, Dubai, Dubai Municipality"
Confident Computer Trading,+97143558180,+971506209181,null,5
Durar Portal,+97144270750,null,null,"Westbury Tower 1, 2, Al Ohood street, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Inplenion Software House ME,null,null,null,"Iris Bay Tower, 145, Al Mustaqbal street, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Cerawatts Trading,null,null,null,"Regal Tower, 141, Al Mustaqbal street, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Trigon,+97143426060,+97143547779,null,"National General Insurance, 3, 34 street, Port Saeed, Deira, Dubai, Dubai Municipality2 branches"
Al Khaleej Information Systems,+97143524232,+971503782300,+97143527944,"Al Yateem Building, 16, 29 street, Al Raffa, Bur Dubai, Dubai, Dubai Municipality"
Micromap IT & Mapping Solutions,+97144463232,null,null,"City Bay, Dubai2 branches"
Infor Middle East,+97143904873,+97145592300,null,"Business Central Towers, 6-10, Al Jaddi street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
Mediasys,+97143903069,+97144503795,null,"Grosvenor Business Tower, 3, Al Fosool street, Al Thanyah 1, Hadaeq Mohammed Bin Rashid, Dubai, Dubai Municipality"
Computer Methods International Corp,null,null,null,"DIC Building 10, 39, DIC street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
Sophos,+97143754332,null,null,"Alfa Holding, 8, Abdullah Omran Taryam street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
Burhani Managed Services,+97142660852,null,null,"Platinum Business Tower, 13, Baghdad street, Al Nahda 2, Deira, Dubai, Dubai Municipality"
Microexcel,+97143210808,null,null,"Westbury Tower 1, 2, Al Ohood street, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Swantech Solutions Electronic Trading,+97142355120,+971565150150,null,"EMITAC, 56, Sheikh Rashid road, Al Garhoud, Deira, Dubai, Dubai Municipality"
S2 Management Solutions,+97144342221,null,null,"DIC Building 10, 39, DIC street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
Agile Financial Technologies,+97144331825,+97144355709,null,"Business Central Towers, 6-10, Al Jaddi street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
VMware FZ,+97145675700,null,null,"Business Central Towers, 6-10, Al Jaddi street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
ICS Network Solutions,+971543507000,+97144309277,null,"The Binary Tower by Omniyat, 32, Marasi Drive, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Automated Softech,+97145170000,null,null,"Latifa Tower, 38, Sheikh Zayed road, Trade Center 1, Jumeirah, Dubai, Dubai Municipality"
Craft Interactive Technology,+97145801123,null,null,"Tower B, 35, Al A'amal street, Business Bay, Za'abeel, Dubai, Dubai Municipality2 branches"
Zopreneurs,+971524707919,null,null,"White Swan Tower, 32, Sheikh Zayed road, Trade Center 1, Jumeirah, Dubai, Dubai Municipality"
Geidea Payment,+97145106800,null,null,"One Central Offices 4, Dubai"
Pro Dynamics Technology,+97143522550,null,null,"Al Khaleej Center, 26, 26 street, Al Raffa, Bur Dubai, Dubai, Dubai Municipality2 branches"
ICE Technology,+97143551151,+971502033630,null,"Al Ain Center, 62, Sheikh Sabah Al Ahmad Al Jaber Al Sabah street, Al Mankhool, Bur Dubai, Dubai, Dubai Municipality"
Bugger Blueblutton,+971501193551,null,null,"The Burjuman Business Tower, 1c, 28a street, Al Mankhool, Bur Dubai, Dubai, Dubai Municipality"
Atop Computer Solutions,+971505386049,+97143518010,null,"Bank Melli Iran Building, 122, Khalid Bin Al Waleed road, Al Mankhool, Bur Dubai, Dubai, Dubai Municipality"
Whitelink Computer,+97143531574,+971508439290,null,"Al Jawharah, 132, Khalid Bin Al Waleed road, Al Mankhool, Bur Dubai, Dubai, Dubai Municipality"
Shaun Technologies Trading,+97142766210,null,null,"Al Fajer Complex Block A, 37a, Umm Hurair road, Oud Metha, Bur Dubai, Dubai, Dubai Municipality"
ANT General Trading,+97142261890,+97142260260,null,"Dubai Pearl Building, 12, 18 street, Al Rigga, Deira, Dubai, Dubai Municipality"
TechVista Systems FZ,+97143693525,null,null,"Dubai Hills Business Park 3, Dubai"
Oasys Information Technology,+97143577666,null,null,"Al Salemiyah Towers, 12, 6b street, Rigga Al Buteen, Deira, Dubai, Dubai Municipality"
Amadeus IT Group S.A.,+97142935222,+97143211911,null,"Festival Tower, 7, Crescent Drive, Al Kheeran, Ras Al Khor, Dubai, Dubai Municipality2 branches"
Enfinity Cloudworks,+971552415511,+971552815511,null,"Rigga Business Center, 24, 26b street, Al Muraqqabat, Deira, Dubai, Dubai Municipality"
Najmat Al Hadara General Trading,null,null,null,"Sheikha Latifa, 9/1, Baniyas road, Al Rigga, Deira, Dubai, Dubai Municipality"
NNTC,+971521472519,+97145973131,null,"Block 13, 65, Al Bourooj street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
Veloce Communication Software,+97143532333,null,null,3
Innobayt Innovative Solutions,+971585348237,null,null,"API Trio Office Tower, 861, Sheikh Zayed road, Al Barsha 1, Hadaeq Mohammed Bin Rashid, Dubai, Dubai Municipality2 branches"
Maxcom Business Solutions,+97142726666,+971553337613,null,"Damas Building, 28, 4 street, Rigga Al Buteen, Deira, Dubai, Dubai Municipality"
Profit Software Trading,+97143532218,null,null,"Al Othman, 8, 2 street, Al Murar, Deira, Dubai, Dubai Municipality"
HCL Technologies,+97144461871,null,null,"DIC 15, 38, Al Jaddi street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality3 branches"
SmartStream Technologies,+97145573494,null,null,"Emirates Financial Tower, 5, Al Sukook street, Za'abeel 2, Za'abeel, Dubai, Dubai Municipality"
Grape Technology,+97143333626,null,null,"City Tower 2, 48, Sheikh Zayed road, Trade Center 1, Jumeirah, Dubai, Dubai Municipality"
Zeta Software,+971557814450,+971526298661,null,"Opal Tower, 8, Al Ohood street, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Optiva Digital Software House,null,null,null,"The Binary Tower by Omniyat, 32, Marasi Drive, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Splash Software,null,null,null,"The Binary Tower by Omniyat, 32, Marasi Drive, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Lean Technologies,null,null,null,"GV 08, 7, Al Boursa street, Za'abeel 2, Za'abeel, Dubai, Dubai Municipality"
Global Future Wide Software Technologies,+97143285676,null,null,3.7
Future Smart Choice,+97142610031,null,null,"Al Garhoud Business Center, 8, 59 street, Al Garhoud, Deira, Dubai, Dubai Municipality"
Penta Techsecure Electronics,+97142947742,+97142947762,null,"Sultan Group Investment, 4, 19a street, Port Saeed, Deira, Dubai, Dubai Municipality"
Tech6 For Computer Systems & Communication Equipment Software Trading Co,null,null,null,null
Azinova Technologies,+97143597674,+971582863990,null,"Al Naboodah Building, 23/1, 44 street, Al Qouz 3, Hadaeq Mohammed Bin Rashid, Dubai, Dubai Municipality2 branches"
Arcad World Computer System,null,null,null,"Al Bayat Center, 21, Al Nahdha street, Al Souq Al Kabeer, Bur Dubai, Dubai, Dubai Municipality4 branches"
Castle IT Solutions,+97143520081,+97143520093,+971504581571,null
Geidea Technology,+97145106800,null,null,"One Central Offices 4, Dubai"
Accel Systems,+97143375760,+97143375750,null,"Karama Gold Building, 38, 45b street, Al Karama, Bur Dubai, Dubai, Dubai Municipality"
Microstar Technologies,+97143932761,null,null,"12, Sikka 43b street, Al Souq Al Kabeer, Bur Dubai, Dubai, Dubai Municipality"
Mont Tech,+971585861852,null,null,"A2, 27, 66 street, Nadd Hessa, Mushraif, Dubai, Dubai Municipality"
Poppys Automation Middle East,+971588038717,null,null,"A2, 27, 66 street, Nadd Hessa, Mushraif, Dubai, Dubai Municipality"
SAS Middle East FZ,+97145232222,+97145232223,null,Software sales
CNS Middle East,+97143340383,+97143217542,+971529935954,"SIT Tower, 74, 90 street, Nadd Hessa, Mushraif, Dubai, Dubai Municipality"
Azentio Software Orion Middle East FZ,+97143914900,null,null,"DIC Building 13, 33, DIC street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
Atlanta Computer Software Trading,null,null,null,null
Digital Forest,null,null,null,"Rasis Business Center, 42, Al Barsha 1 street, Al Barsha 1, Hadaeq Mohammed Bin Rashid, Dubai, Dubai Municipality"
iConnect IT Business Solutions DMCC,+97142404410,null,null,"X2, X2, Cluster X street, Jumeirah Lakes Towers, Al Thanyah 5, Hadaeq Mohammed Bin Rashid, Dubai, Dubai Municipality"
Ascade Middle East FZ,+97143754704,null,null,"DIC Building 11, 37, DIC street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
Bizon Software Solutions,+971507441379,+97143559959,null,"City Bay, Dubai"
ANT General Trading,+971501793932,+971505851433,+971507482929,"88, 25c street, Ras Al Khor Industrial 2, Ras Al Khor, Dubai, Dubai Municipality"
Quintica Middle East,+97144267303,+97144267302,null,"Al Hayyan Building, 25, Dubai Healthcare City street, Umm Hurair 2, Bur Dubai, Dubai, Dubai Municipality"
Diebold Nixdorf Middle East FZ,+97144582320,null,null,"DIC 16, 36, Al Jaddi street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
CitiXsys Arabia FZ,+97144312139,null,null,Manufacturing Process Automation
Kernel Sphere Technologies,+971502511441,+971565251418,+97143423616,"Bank Melli Iran Building, 122, Khalid Bin Al Waleed road, Al Mankhool, Bur Dubai, Dubai, Dubai Municipality"
Dakat Computer Trading,+97142626688,+971588201122,null,"Abdul Wahed Bin Shabib 12, 20, Sikka 27c street, Al Souq Al Kabeer, Bur Dubai, Dubai, Dubai Municipality2 branches"
Mehmadkhurram IT Infrastructure,+971543428664,null,null,null
Future Valley Technology,+971504873996,+97165950751,null,5
LS Retail,+97142415155,null,null,"Saba Tower 1, E3, Cluster E street, Jumeirah Lakes Towers, Al Thanyah 5, Hadaeq Mohammed Bin Rashid, Dubai, Dubai Municipality"
Headstart FZ,+97143670413,+97143670415,+97143670414,null
Staqo World Technologies,+971588870382,null,null,"The Metropolis, 57, Marasi Drive, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Chipin Corporation,+971526463141,+97165447890,+97165447887,"Park View Building, 57, Jamal Abdul Naser street, Al Majaz 2, Al Majaz, Sharjah, Sharjah"
Abzer DMCC,+97142429200,null,null,Manufacturing Process Automation
Roadek,+971561781010,+971502422673,null,"A1, 600, Dubai Al Ain road, Nadd Hessa, Mushraif, Dubai, Dubai Municipality"
Amdocs,+97144461624,null,null,"Al Shatha Tower, 10, Al Jowzaa street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
Pointcheckout Software Trading,+971567824730,+97145808638,null,Software sales
Eureka Infinity Computers Trading,+97142734532,+971554800380,null,"Al Mamzar Centre, 201, 28 street, Hor Al Anz East, Deira, Dubai, Dubai Municipality"
FlexTech Solutions,+97142552584,null,null,"Business Avenue Building, 1, 29a street, Port Saeed, Deira, Dubai, Dubai Municipality"
Simpra Technologies,null,null,null,Software sales
Itd Epos Software,null,null,null,"Business Tower, 6, Al Majaz Northern Park street, Al Majaz 2, Al Majaz, Sharjah, Sharjah"
LogisEye Solutions,+97142156765,null,null,"Dafza 2W Building, 21, Al Quds street, Dubai International Airport, Deira, Dubai, Dubai Municipality"
HP Computing And Printing Middle East FZ,+97142792799,null,null,null
Bilogic Systems Inc.,+97143911150,+97143911151,null,"DIC 1, 1, Internet City road, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
Unique Computer System,+97165254491,+97165254343,null,"Al Baker Tower 5, 7/9, Al Khan 2 street, Al Khan, Sharjah, Sharjah"
Jachoos Technologies,+97143554067,+971585224667,+971567066233,Software sales
DNV,null,null,null,"The Burjuman Business Tower, 1c, 28a street, Al Mankhool, Bur Dubai, Dubai, Dubai Municipality4 branches"
Trust Infotech Electronics,+97143254972,null,null,"Makeya Abdulla Sharafi, 97, Khalid Bin Al Waleed road, Al Souq Al Kabeer, Bur Dubai, Dubai, Dubai Municipality"
Future City Computers Technology,+97143936105,null,null,null
ISystemz,+971585216770,null,null,"The Meydan Hotel, 10, Al Meydan street, Nadd Al Shiba 1, Hadaeq Mohammed Bin Rashid, Dubai, Dubai Municipality"
First Star Computer,+97165749799,+971501391644,+97165749798,"Crystal Plaza, 105, King Faisal street, Al Majaz 1, Al Majaz, Sharjah, Sharjah"
Clover infotech,+97145686258,null,null,Company
Al Roman Technologies,+97143594459,null,null,"Al Khaleej Center, 26, 26 street, Al Raffa, Bur Dubai, Dubai, Dubai Municipality"
Om Computers,+97143920430,+971565492301,null,"Dr. Fernandez Building, 2, 43a street, Al Souq Al Kabeer, Bur Dubai, Dubai, Dubai Municipality"
High Speed Technology,+97143325995,+971503158497,null,Software sales
Tally Global Software Trading,+97148866551,+971502393488,+971504393488,5
BlueChip Computers,+97142682777,+97142682776,null,"Royal Plaza Building, 69, Al Rigga road, Al Muraqqabat, Deira, Dubai, Dubai Municipality"
FIS Systems Middle East,null,null,null,null
Metadialog Software,null,null,null,"GD 04, 11, Al Sukook street, Za'abeel 2, Za'abeel, Dubai, Dubai Municipality"
Travelport Middle East,+97143614800,+97143614801,80001835150,"Concord Tower, 189, King Salman Bin Abdulaziz Al Saud street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
Innovation Factory,+97143949366,null,null,IT solution company
Canada HiTech Solutions,+971502124528,+971506319536,+971508944718,3
Accelya group,null,null,null,"Dubai Silicon Oasis Authority Head Quarters, 49, Sheikh Mohammed Bin Zayed road, Nadd Hessa, Mushraif, Dubai, Dubai Municipality"
Al Miyadeen Information Technology,null,null,null,null
Sum Innovations,+971564756007,null,null,"A5, Dubai"
SpecTec Middle East,+97144503580,null,null,"Al Shafar Tower 1, 19, Al Fosool street, Al Thanyah 1, Hadaeq Mohammed Bin Rashid, Dubai, Dubai Municipality"
Qlik Technologies Inc,+97144571400,null,null,Company
Newgen Software Technology,+97144541365,null,null,"DIC 3, 3, Internet City road, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
Xtend Technologies,+97142545081,+971566788981,null,"Al Nahyan Building, 2, 46 street, Hor Al Anz, Deira, Dubai, Dubai Municipality"
Supportmena Technologies,+97143609806,null,null,Software sales
Aristo Star General Trading,+97142675104,+97142676018,null,"Kasco Tower, 22, Damascus street, Al Qusais Industrial 3, Deira, Dubai, Dubai Municipality"
SAS Middle East FZ,null,null,null,"Al Thuraya Tower 1, 81, Al Falak street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality3 branches"
Info Guard Technologies,null,null,null,Software sales
Praxis Solution,+97144347632,+97144298765,null,"X2, X2, Cluster X street, Jumeirah Lakes Towers, Al Thanyah 5, Hadaeq Mohammed Bin Rashid, Dubai, Dubai Municipality"
Absen Middle East DMCC,+971558868176,null,null,"X2, X2, Cluster X street, Jumeirah Lakes Towers, Al Thanyah 5, Hadaeq Mohammed Bin Rashid, Dubai, Dubai Municipality"
CloudPlay Information Technology,+971585216636,+971585716636,+971585416636,null
Al Fahad Fortune Trading,+971504722958,+97143475014,+971565004843,"Nawras Tower, 50/2, 16 street, Al Qusais, Deira, Dubai, Dubai Municipality"
Lead Time Telecom,+97143712524,null,null,"Dubai Silicon Oasis Authority Head Quarters, 49, Sheikh Mohammed Bin Zayed road, Nadd Hessa, Mushraif, Dubai, Dubai Municipality"
Fleetroot,+97143960610,null,null,Software sales
Audatex FZ,+97144542520,null,null,"Al Shatha Tower, 10, Al Jowzaa street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
FourNxt Technologies,+971508602393,+97143939621,null,"Technohub 1 Block B, 4, 60 street, Nadd Hessa, Mushraif, Dubai, Dubai Municipality"
Liferay Middle East FZ,+97145647410,null,null,Software sales
Element Blue Technologies,+97142392825,+97142681177,null,"Single Business Tower, 153, Sheikh Zayed road, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Waince Web Tech,+971568442059,null,null,"Vision Tower, 9, Al Khaleej Al Tejari 1 street, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Avloire Webs Gaming Services,+971586585581,null,null,null
Way Point Systems,+97142881926,null,null,"Suntech Tower, 7, 87 street, Nadd Hessa, Mushraif, Dubai, Dubai Municipality"
A2Z Express Services,+97142283336,null,null,"IT Plaza, 30, 47 street, Nadd Hessa, Mushraif, Dubai, Dubai Municipality"
Palantir Technologies INC,null,null,null,Company
P B S S Computer Software Trading,+971526518671,null,null,"Sheikha Mahra Building, 169, Al Nahda road, Al Twar 5, Deira, Dubai, Dubai Municipality"
